P1
5
7.8
8.33
10
5
6.7
9.4
5
10
5.5
4.6
-
7.7
6.5
5
10
5
5
7.2
8.3
5
9.4
7.3
6.8
8.33
8.3
7.8
9.6
10
5.8
5
9.6
9.1
5
7.2
3.6
2.3
10
5
7.3
10
0
0
6.67
0.83
3.33
9.4
9.1
6
5.83
0
0
5
6.25
6.8
6.8
7.7
10
8.9
6.8
6.8
7.7
0
5
5.83
5.83
4.8
-
7.3
8.9
8.33
8.33
6.4
2.7
8.5
5.83
-
5.6
0
8.3
5
6.67
5.5
6.67
3.58
3.3
6.7
10
5
5.6
6.6
6.8
10
-
6.67
10
9.4
4.6
7.2
2.7
8.9
7.5
9.1
6
5.5
5
7.7
4.6
-
4.42
10
6.92
6
8.33
-
5.5
-
7.5
3.2
7.8
5.25
4.3
-
7.5
6.67
0.6
0
7.2
6.7
-
5.6
-
9.4
9.6
7.5
6
6.67
4.17
8.2
6.67
9.17
6
-
5.5
7.7
6
3.2
0
8.9
5.1
8.2
6.67
6.67
8.6
5.83
9.4
0
8.33
0
0
3.75
3.75
10
6.1
6.6
5
6.4
5
0
5.83
-
7.5
-
6
7.3
4.17
-
8.33
6.4
8.6
5
6
4.4
6.1
5.83
0
6
1.8
6.67
5
7.3
7.75
-
5
0
8.33
6.4
8.9
7.5
8.33
5.5
8.33
10
3.6
0
6.8
0
-
0
7.2
5
6.1
6.92
9.17
6.7
7.9
9.17
5.6
7.08
7.3
9.1
-
2
10
6.1
5
0
0
-
2.7
7.5
5.83
8.33
7.5
6.9
8.75
6
9.4
-
10
-
7.2
6.7
6.67
-
-
6.7
7.8
0
6.67
7.7
6.92
6.1
7.2
7.17
6.67
-
6.67
6.67
7.7
5.83
6
6.67
-
-
4.1
-
6.92
8.9
4.6
9.58
-
0
6.67
5.83
-
5.83
7.08
5
5.83
6.67
4.17
6.7
5
6.7
6.08
10
6.67
4.1
-
-
-
0
-
-
6
5.83
5.83
8.33
4.4
6.8
4.8
0
0
6.67
5
-
6.67
6.92
6.7
0
6.67
6.67
8.2
10
6.67
5.6
7.08
10
10
4.17
5.83
0
-
4.6
-
8.8
10
8.9
5.5
-
7.5
-
8.3
7.8
-
10
6.4
-
9.8
9.6
7.8
4.6
8.9
-
7.2
-
-
7.8
4.1
10
5.3
7.2
7.5
5.5
-
-
-
-
6.1
4.3
-
8.9
9.1
9
9.6
6.4
2.7
5
-
7.8
8.8
-
7.5
5.5
5.6
6.1
8.3
7.2
9.3
-
8.3
-
6.4
7.2
8.9
5.6
8.8
-
5.6
10
-
-
8.7
-
6.5
-
6.4
7.8
7.8
9.3
6
-
-
8
-
8.3
4.6
8.5
9.4
7.8
-
8.9
7.9
10
-
8.3
6.1
-
6.4
9.4
8.9
8.6
9.3
4.6
10
5
9.1
9.1
-
6
-
6.8
5.6
8.7
5.6
7.8
10
-
8.3
-
6
7.7
8.7
-
8.3
-
4.7
5.5
5.6
9.4
-
-
-
-
5
-
7.3
3.7
10
4.6
5
-
10
7.3
9.4
10
8.3
-
-
-
7
-
-
-
6.7
6.1
-
6.4
2.7
6.7
-
8.2
8.2
7.9
-
-
7.2
10
2.7
8.2
0
-
-
-
6.1
6
7.8
6.8
9.6
-
8.2
7.5
-
7.3
6.1
10
-
7.2
10
7.2
0
6.67
6.6
8.9
-
-
5
5.5
8.3
9.4
10
7.5
6.7
3.3
4.1
6
-
-
-
7.4
8.3
10
9.6
6.7
-
9.3
9.4
5.6
5.83
-
7
5
8.6
-
7.9
10
0
5
7.3
-
6.1
-
-
7.5
9.6
8.3
5.83
5.83
-
-
5
10
-
8.6
8.9
10
8.3
6.1
8.9
7.2
7.8
-
5
8.9
7.3
7.3
6.92
3.2
6
6.67
5.5
6.1
6.67
0
6
2.7
5.83
10
2.5
1.7
0
6.8
6.67
5
